(You can cut and paste this into a spreadsheet)
source: http://hl7.org/fhir/R4/v3/orderableDrugForm/vs.html
Lvl	Code	Display	Definition	internalId	status	Not Selectable	Parent
1	_AdministrableDrugForm	AdministrableDrugForm		21101	active	true	
2	  APPFUL	Applicatorful		14572	active		_AdministrableDrugForm
2	  DROP	Drops		14420	active		_AdministrableDrugForm, SOL
3	    NDROP	Nasal Drops		14422	active		DROP
3	    OPDROP	Ophthalmic Drops		14421	active		DROP
3	    ORDROP	Oral Drops		14423	active		DROP, ORALSOL
3	    OTDROP	Otic Drops		14424	active		DROP
2	  PUFF	Puff		14571	active		_AdministrableDrugForm
2	  SCOOP	Scoops		14574	active		_AdministrableDrugForm
2	  SPRY	Sprays		14573	active		_AdministrableDrugForm
1	_DispensableDrugForm	DispensableDrugForm		21102	active	true	
2	  _GasDrugForm	GasDrugForm	Any elastic aeriform fluid in which the molecules are separated from one another and have free paths.	21103	active	true	_DispensableDrugForm
3	    GASINHL	Gas for Inhalation		14569	active		_GasDrugForm
2	  _GasLiquidMixture	GasLiquidMixture		21104	active	true	_DispensableDrugForm
3	    AER	Aerosol		14551	active		_GasLiquidMixture
4	      BAINHL	Breath Activated Inhaler		14553	active		AER
4	      INHLSOL	Inhalant Solution		14555	active		AER
4	      MDINHL	Metered Dose Inhaler		14552	active		AER
4	      NASSPRY	Nasal Spray		14554	active		AER
3	    DERMSPRY	Dermal Spray		14556	active		_GasLiquidMixture
3	    FOAM	Foam		14546	active		_GasLiquidMixture
4	      FOAMAPL	Foam with Applicator		14547	active		FOAM
4	      RECFORM	Rectal foam		14548	active		FOAM
4	      VAGFOAM	Vaginal foam		14549	active		FOAM
5	        VAGFOAMAPL	Vaginal foam with applicator		14550	active		VAGFOAM
3	    RECSPRY	Rectal Spray		14557	active		_GasLiquidMixture
3	    VAGSPRY	Vaginal Spray		14558	active		_GasLiquidMixture
2	  _GasSolidSpray	GasSolidSpray		21105	active	true	_DispensableDrugForm
3	    INHL	Inhalant		14560	active		_GasSolidSpray
4	      BAINHLPWD	Breath Activated Powder Inhaler		14562	active		INHL
4	      INHLPWD	Inhalant Powder		14561	active		INHL
4	      MDINHLPWD	Metered Dose Powder Inhaler		14563	active		INHL
4	      NASINHL	Nasal Inhalant		14564	active		INHL
4	      ORINHL	Oral Inhalant		14565	active		INHL
3	    PWDSPRY	Powder Spray		14567	active		_GasSolidSpray
3	    SPRYADAPT	Spray with Adaptor		14566	active		_GasSolidSpray
2	  _Liquid	Liquid	A state of substance that is an intermediate one entered into as matter goes from solid to gas; liquids are also intermediate in that they have neither the orderliness of a crystal nor the randomness of a gas. (Note: This term should not be used to describe solutions, only pure chemicals in their liquid state.)	21106	active	true	_DispensableDrugForm
3	    LIQCLN	Liquid Cleanser		14414	active		_Liquid
4	      LIQSOAP	Medicated Liquid Soap		14415	active		LIQCLN
4	      SHMP	Shampoo	A liquid soap or detergent used to clean the hair and scalp and is often used as a vehicle for dermatologic agents.	14416	active		LIQCLN
3	    OIL	Oil	An unctuous, combustible substance which is liquid, or easily liquefiable, on warming, and is soluble in ether but insoluble in water. Such substances, depending on their origin, are classified as animal, mineral, or vegetable oils.	14417	active		_Liquid
4	      TOPOIL	Topical Oil		14418	active		OIL
3	    SOL	Solution	A liquid preparation that contains one or more chemical substances dissolved, i.e., molecularly dispersed, in a suitable solvent or mixture of mutually miscible solvents.	14419	active		_Liquid
4	      IPSOL	Intraperitoneal Solution		14425	active		SOL
4	      IRSOL	Irrigation Solution	A sterile solution intended to bathe or flush open wounds or body cavities; they're used topically, never parenterally.	14427	active		SOL
5	        DOUCHE	Douche	A liquid preparation, intended for the irrigative cleansing of the vagina, that is prepared from powders, liquid solutions, or liquid concentrates and contains one or more chemical substances dissolved in a suitable solvent or mutually miscible solvents.	14428	active		IRSOL
5	        ENEMA	Enema	A rectal preparation for therapeutic, diagnostic, or nutritive purposes.	14429	active		IRSOL
5	        OPIRSOL	Ophthalmic Irrigation Solution		14430	active		IRSOL
4	      IVSOL	Intravenous Solution		14426	active		SOL
4	      ORALSOL	Oral Solution		14431	active		SOL
5	        ELIXIR	Elixir	A clear, pleasantly flavored, sweetened hydroalcoholic liquid containing dissolved medicinal agents; it is intended for oral use.	14432	active		ORALSOL
5	        RINSE	Mouthwash/Rinse	An aqueous solution which is most often used for its deodorant, refreshing, or antiseptic effect.	14434	active		ORALSOL
5	        SYRUP	Syrup	An oral solution containing high concentrations of sucrose or other sugars; the term has also been used to include any other liquid dosage form prepared in a sweet and viscid vehicle, including oral suspensions.	14433	active		ORALSOL
5	        ORDROP	Oral Drops	
4	      RECSOL	Rectal Solution		14436	active		SOL
4	      TOPSOL	Topical Solution		14437	active		SOL
